"Frame","SourceWidth","SourceHeight","Scale","OutputWidth","OutputHeight","LeftExtent","RightExtent","Overflow","StanceWidth","Dropped","Baseline","Bytes"
"move1_down","176","489","0.74642","131","365","65","66","0","33","0","371","42623"
"move1_left","301","476","0.76681","231","365","121","110","0","209","0","371","43361"
"move1_right","301","476","0.76681","231","365","109","122","0","209","0","371","43520"
"move1_up","145","407","0.89681","130","365","65","65","0","65","0","371","38933"
"move2_down","177","487","0.74949","133","365","64","69","0","37","0","371","43720"
"move2_left","249","473","0.77167","192","365","95","97","0","173","0","371","42738"
"move2_right","249","473","0.77167","192","365","96","96","0","173","0","371","42835"
"move2_up","144","407","0.89681","129","365","64","65","0","65","0","371","38558"
"move3_down","178","486","0.75103","134","365","65","69","0","35","0","371","43477"
"move3_left","241","478","0.7636","184","365","85","99","0","167","0","371","41660"
"move3_right","241","478","0.7636","184","365","99","85","0","167","0","371","41970"
"move3_up","145","407","0.89681","130","365","65","65","0","64","0","371","37956"
"move4_down","178","489","0.74642","133","365","65","68","0","38","0","371","43732"
"move4_left","191","474","0.77004","147","365","80","67","0","143","0","371","38320"
"move4_right","191","474","0.77004","147","365","66","81","0","143","0","371","38558"
"move4_up","142","408","0.89461","127","365","64","63","0","61","0","371","37749"
"move5_down","166","490","0.7449","124","365","62","62","0","59","0","371","43702"
"move5_left","402","1365","0.2674","107","365","57","50","0","88","1","371","35376"
"move5_right","402","1365","0.2674","107","365","50","57","0","88","1","371","35439"
"move5_up","141","407","0.89681","126","365","63","63","0","65","0","371","37722"
"move6_down","178","489","0.74642","133","365","67","66","0","38","0","371","43906"
"move6_left","174","476","0.76681","133","365","72","61","0","133","0","371","37857"
"move6_right","174","476","0.76681","133","365","61","72","0","133","0","371","38089"
"move6_up","142","408","0.89461","127","365","63","64","0","61","0","371","37778"
"move7_down","178","486","0.75103","134","365","68","66","0","35","0","371","43482"
"move7_left","250","471","0.77495","194","365","100","94","0","181","0","371","40377"
"move7_right","250","471","0.77495","194","365","93","101","0","181","0","371","40398"
"move7_up","145","407","0.89681","130","365","65","65","0","64","0","371","38103"
"move8_down","177","487","0.74949","133","365","67","66","0","37","0","371","43778"
"move8_left","256","472","0.77331","198","365","107","91","0","193","0","371","42443"
"move8_right","256","472","0.77331","198","365","90","108","0","193","0","371","42517"
"move8_up","144","407","0.89681","129","365","65","64","0","65","0","371","38677"
"move9_down","176","489","0.74642","131","365","66","65","0","33","0","371","42672"
"move9_left","298","470","0.7766","231","365","132","99","0","214","0","371","44912"
"move9_right","298","470","0.7766","231","365","99","132","0","214","0","371","44984"
"move9_up","145","407","0.89681","130","365","64","66","0","65","0","371","39127"
"still_down","240","702","0.51994","125","365","62","63","0","111","47","371","43145"
"still_left","146","708","0.51554","75","365","41","34","0","75","83","371","30898"
"still_right","148","711","0.51336","76","365","35","41","0","75","0","371","30833"
"still_up","239","708","0.51554","123","365","61","62","0","108","0","371","38435"
